S.No.,Name,CMP Rs.,Mar Cap Rs.Cr.,Graham's Number Rs.,Piotski Scr,Face value Rs.,CMP Upside Potential %,52w High Rs.,QoQ Profits %,Qtr Profit Var %,Profit Var 3Yrs %,P/E,Trd Qty,ROCE 3Yr %,Exp Qtr NP Rs.Cr.,CP above GN %,ROE %,ROE 3Yr %,Debt / Eq
57.,Chamanlal Setia,82.75,428.10,143.12,7.00,2.00,38.25,114.40,-35.72,81.58,10.83,5.48,62456,23.46,23.50,0.58,20.99,20.17,0.15
58.,Vedanta,120.75,44885.15,,6.00,1.00,37.56,166.10,-20.23,-46.94,0.46,4.31,32236067,14.71,2007.51,,15.16,16.51,0.88
59.,PSP Projects,408.85,1471.86,260.33,6.00,10.00,36.97,560.00,748.65,-55.99,46.09,17.69,39518,41.52,33.55,1.57,31.20,29.76,0.24
60.,Alankit,15.85,226.59,11.65,5.00,1.00,36.91,21.70,17.75,4.50,-2.23,16.60,169081,33.10,3.37,1.36,15.41,23.61,0.16
61.,KEI Industries,424.90,3817.96,335.96,5.00,2.00,36.50,580.00,88.19,-10.30,39.88,15.98,427063,27.00,100.42,1.26,22.44,24.59,0.17
62.,SPL Industries,28.80,83.52,87.09,6.00,10.00,36.11,39.20,80.75,-60.18,178.50,4.02,41866,24.05,2.56,0.33,27.65,24.22,0.03
63.,Bharti Infratel,218.60,58911.32,133.79,6.00,10.00,35.64,296.50,4.12,-23.96,8.97,20.42,18791665,22.18,515.93,1.63,21.56,17.06,0.18
64.,United Spirits,548.40,39848.87,52.9,7.00,2.00,35.48,742.95,153.58,-20.62,25.67,183.71,2592910,19.69,97.08,10.37,16.36,21.15,0.28
65.,Rites,245.65,5903.02,219.94,6.00,10.00,34.74,331.00,106.45,-44.20,29.77,12.01,269679,30.35,118.81,1.12,25.01,21.21,0.01
66.,Rail Vikas,21.85,4555.77,43.76,5.00,10.00,34.10,29.30,33.18,-14.79,23.54,6.70,8023663,12.19,153.62,0.5,15.84,15.90,0.88
67.,Andhra Sugars,294.30,797.85,785.01,6.00,10.00,33.20,392.00,18.05,-38.27,16.72,4.83,74484,18.23,32.36,0.37,17.23,15.69,0.10
68.,Cochin Shipyard,369.25,4857.13,470.14,6.00,10.00,33.16,491.70,154.07,-47.80,25.57,10.54,550104,23.18,126.60,0.79,18.01,15.90,0.03
69.,SEAMEC Ltd,398.95,1014.33,385.31,9.00,10.00,33.09,530.95,572.56,-42.21,42.52,13.58,36142,17.61,11.87,1.04,26.88,17.62,0.08
70.,Expleo Solutions,483.55,495.76,443.03,6.00,10.00,32.90,642.65,-11.71,40.67,18.79,9.69,21201,38.58,13.93,1.09,27.41,26.55,0.00
71.,KRBL,257.80,6068.35,284.42,7.00,1.00,31.73,339.60,19.14,32.12,11.80,10.39,556877,21.20,259.56,0.91,19.07,19.82,0.05
72.,Menon Bearings,48.65,272.63,29.86,5.00,1.00,31.55,64.00,113.68,54.08,-9.00,20.80,29133,28.45,2.87,1.63,16.10,24.92,0.33
